Year,Country,GDP per capita,Population,Unemployment rate,Continent
2019,Afghanistan,497.7414313,37769499,11.224,Asia
2019,Albania,5396.214243,2854191,11.466,Europe
2019,Algeria,4530.101745,42705368,12.285,Africa
2019,American Samoa,13672.57666,47321,,Oceania
2019,Andorra,41328.6005,76343,,Europe
2019,Angola,2191.347764,32353588,16.497,Africa
2019,Antigua and Barbuda,18730.0048,92117,,North America
2019,Argentina,9963.674162,44938712,9.843,South America
2019,Armenia,4828.504886,2820602,12.2,Asia
2019,Australia,55049.57192,25334826,5.159,Oceania
2019,Austria,50067.58573,8879920,4.56,Europe
2019,Azerbaijan,4805.753718,10024283,5,Asia
2019,"Bahamas, The",32173.95818,404557,10.011,North America
2019,Bahrain,25869.11291,1494188,1.226,Asia
2019,Bangladesh,2122.037652,165516222,4.693,Asia
2019,Barbados,19156.03987,280180,8.413,North America
2019,Belarus,6837.768321,9419758,4.165,Europe
2019,Belgium,46641.7214,11488980,5.36,Europe
2019,Belize,6134.215233,389095,9.053,North America
2019,Benin,1170.885995,12290444,1.402,Africa
2019,Bermuda,116153.1661,63911,,North America
2019,Bhutan,3564.598771,767459,2.72,Asia
2019,Bolivia,3472.380831,11777315,3.682,South America
2019,Bosnia and Herzegovina,6094.724823,3360711,15.692,Europe
2019,Botswana,6691.160846,2499702,20.094,Africa
2019,Brazil,8845.324149,211782878,11.936,South America
2019,British Virgin Islands,..,30610,,North America
2019,Brunei Darussalam,30748.30924,438048,6.6,Asia
2019,Bulgaria,9874.336326,6975761,4.23,Europe
2019,Burkina Faso,765.2295604,20951639,4.701,Africa
2019,Burundi,216.9729709,11874838,1.053,Africa
2019,Cabo Verde,3903.050317,577030,12.118,Africa
2019,Cambodia,1671.3854,16207746,0.12,Asia
2019,Cameroon,1538.563063,25782341,3.646,Africa
2019,Canada,46352.86934,37618495,5.69,North America
2019,Cayman Islands,89846.3211,66134,,North America
2019,Central African Republic,426.4087531,5209324,5.978,Africa
2019,Chad,701.621201,16126866,1.081,Africa
2019,Channel Islands,58564.3501,169410,6.17,Europe
2019,Chile,14616.20725,19039485,7.533,South America
2019,China,10143.86022,1407745000,4.56,Asia
2019,Colombia,6436.509215,50187406,10.28,South America
2019,Comoros,1510.797324,790986,5.1,Africa
2019,"Congo, Dem. Rep.",575.8827814,89906890,4.642,Africa
2019,"Congo, Rep.",2508.940444,5570733,20.608,Africa
2019,Costa Rica,12669.34115,5084532,10.807,North America
2019,Cote d'Ivoire,2309.313583,26147551,2.401,Africa
2019,Croatia,15218.5258,4065253,6.617,Europe
2019,Cuba,9139.38051,11316697,1.2,North America
2019,Curacao,19220.6867,157441,,North America
2019,Cyprus,29419.99219,1228836,7.155,Asia
2019,Czechia,23664.84786,10671870,2.015,Europe
2019,Denmark,59592.98069,5814422,5.018,Europe
2019,Djibouti,2876.043664,1073994,26.246,Africa
2019,Dominica,8561.587011,71428,,North America
2019,Dominican Republic,8173.344699,10881882,6.356,North America
2019,Ecuador,6203.727051,17343740,3.812,South America
2019,"Egypt, Arab Rep.",3017.258336,105618671,7.851,Africa
2019,El Salvador,4280.288404,6280217,4.17,North America
2019,Equatorial Guinea,7317.390026,1553031,8.367,Africa
2019,Eritrea,..,3498818,5.789,Africa
2019,Estonia,23581.65684,1326898,4.514,Europe
2019,Eswatini,3843.380046,1169613,29.049,Africa
2019,Ethiopia,840.4496013,114120594,2.945,Africa
2019,Faroe Islands,63203.74478,51681,,Europe
2019,Fiji,5927.72419,918465,4.38,Oceania
2019,Finland,48629.85823,5521606,6.695,Europe
2019,France,40494.89829,67388001,8.415,Europe
2019,French Polynesia,20093.20858,299717,11.536,Oceania
2019,Gabon,7523.862278,2242785,20.426,Africa
2019,"Gambia, The",722.8753563,2508883,4.532,Africa
2019,Georgia,4741.283272,3720161,11.565,Asia
2019,Germany,46805.13843,83092962,3.136,Europe
2019,Ghana,2167.925276,31522290,3.156,Africa
2019,Gibraltar,..,32685,,Europe
