Country,GDP per capita
Antarctic,
Burundi,199.58
Syria,420
Sierra Leone,433.37
Central African Rep.,445.03
Madagascar,528.65
Yemen,533.37
Somaliland,592
Mozambique,608.44
Niger,618.29
Somalia,643.75
Dem. Rep. Congo,649.14
Malawi,672.87
Chad,719.38
Eritrea,756
Liberia,799.5
Gambia,843.77
Burkina Faso,874.12
Lesotho,878.01
Mali,897.45
Guinea-Bissau,914.28
Rwanda,1000.22
Togo,1012.97
Uganda,1014.21
S. Sudan,1071
Myanmar,1187.57
Tajikistan,1188.99
Tanzania,1211.06
North Korea,1217
Ethiopia,1293.78
Nepal,1324.03
Zambia,1369.13
Pakistan,1407.02
Benin,1434.66
Comoros,1587.16
Zimbabwe,1592.42
Nigeria,1621.12
Timor-Leste,1648.65
Guinea,1663.94
Cameroon,1673.65
Haiti,1693.07
Senegal,1745.97
Cambodia,1875.07
Kenya,1949.9
Kyrgyzstan,1969.87
Laos,2075.4
Mauritania,2149.41
Ghana,2238.16
Sudan,2272.49
Angola,2309.52
India,2484.85
Uzbekistan,2496.11
W. Sahara,2500
Congo,2508.82
Bangladesh,2529.08
Nicaragua,2530.29
Sao Tome and Principe,2601.79
Cote d'Ivoire,2728.8
C™te d'Ivoire,2728.8
Papua New Guinea,2994.45
Honduras,3247.23
West Bank and Gaza,3367.61
Egypt,3512.58
Djibouti,3606.42
Morocco,3672.11
Bolivia,3700.98
Philippines,3725.55
Bhutan,3776
Eswatini,3797.3
Sri Lanka,3827.96
Tunisia,3895.39
Afghanistan,4027
Cabo Verde,4321.58
Vietnam,4346.77
Jordan,4482.09
Iran,4502.55
Namibia,4742.78
Indonesia,4940.55
Ukraine,5181.36
Algeria,5260.21
El Salvador,5344.21
Iraq,5512.48
Mongolia,5764.8
Guatemala,5797.52
Fiji,5868.16
Kosovo,5943.13
Suriname,6069.03
South Africa,6253.16
Paraguay,6260.46
Ecuador,6533.35
Moldova,6650.65
Jamaica,6874.2
Colombia,6979.73
Equatorial Guinea,7066.62
Azerbaijan,7155.08
Thailand,7171.81
Botswana,7249.8
Libya,7329.98
Cuba,7445
Peru,7789.87
Belarus,7829.05
Belize,7987.59
Georgia,8120.36
Macedonia,8146.47
Albania,8367.78
Gabon,8420.1
Bosnia and Herz.,8426.09
Armenia,8715.77
Dominica,8953.9
Turkmenistan,9190.67
Brazil,10043.62
Saint Vincent and the Grenadines,10279.49
Grenada,10463.65
Dominican Rep.,10716.01
Serbia,11360.96
Mauritius,11416.86
Malaysia,11648.67
Montenegro,12016.91
China,12614.06
Maldives,12667.44
Turkey,12985.75
Kazakhstan,13136.62
Argentina,13730.51
Russia,13817.05
Mexico,13926.11
Saint Lucia,13980.09
Lebanon,15786
Bulgaria,15797.6
Venezuela,15975
Costa Rica,16595.37
Chile,17093.24
Seychelles,17879.24
Trinidad and Tobago,18332.96
Romania,18419.42
Panama,18661.77
Guyana,20626.2
Croatia,21459.78
Antigua and Barbuda,21560.22
Poland,22112.86
Hungary,22147.21
Saint Kitts and Nevis,22553.31
Uruguay,22564.53
Barbados,22672.62
Greece,22990.01
Latvia,23184.31
Oman,23295.33
Slovakia,24470.24
Lithuania,27102.78
Portugal,27275.11
Saudi Arabia,28894.96
Bahrain,29084.31
Estonia,29823.75
Czechia,30427.42
Slovenia,32163.51
Spain,32676.98
Taiwan,32679
South Korea,33121.37
Brunei,33430.92
Japan,33834.39
Cyprus,34701.44
Bahamas,34749.64
Puerto Rico,36779.06
Kuwait,37533.22
Malta,37882.27
Italy,38373.17
France,44460.82
Andorra,46544.72
New Zealand,48527.83
United Kingdom,48866.6
Israel,52261.68
Germany,52745.76
Canada,53371.7
Belgium,53475.29
United Arab Emirates,53707
Finland,53755.91
San Marino,54982
Sweden,56305.25
Austria,56505.97
Greenland,57116
Netherlands,62536.73
Australia,64711.77
Denmark,67967.38
Iceland,78811.06
United States of America,81695.19
Singapore,84734.26
Qatar,87661
Norway,87961.78
Switzerland,99994.94
Ireland,103684.88
Luxembourg,128259.4
Liechtenstein,197504
Monaco,240862
